Date,MocHoa,MyTho,CaoLanh,BaTri,CangLong,ChauDoc,CanTho,SocTrang,PhuQuoc,RachGia,BacLieu,CaMau,ToanVung
Jan-79,0,0,3.4,0,0.8,9.1,0,1.4,25.7,5.3,,14.1,5.436363636
Feb-79,5.3,0,0,0.6,0,0.1,0,0,18.6,0,,0,2.236363636
Mar-79,35.1,0,0,0,0,2.4,0.1,0,34,29.6,,5.6,9.709090909
Apr-79,176,141.3,175.1,76,118.9,98.7,117.9,133.2,219.4,256.4,,91.1,145.8181818
May-79,57.5,34.5,127.7,143.8,115.9,135.5,87.1,161.7,371.3,337.2,,114.2,153.3090909
Jun-79,107.7,179,107.7,212.8,215.3,97.8,168.9,298.9,345.6,187.9,,433.1,214.0636364
Jul-79,85.8,165.8,175.3,202.7,238.7,88.7,341,379.8,811.9,472.2,,601.7,323.9636364
Aug-79,198.2,129.5,260.6,151.3,223.9,225.65,222.1,356.8,552.3,476.1,,482.4,298.0772727
Sep-79,289.4,291.6,308,187.1,274.1,95.9,206.8,374.9,493.4,358.2,,476,305.0363636
Oct-79,112.7,287.3,90.4,131.9,234.7,107.8,156.6,145.1,127.7,145.1,,387.9,175.2
Nov-79,191.6,126.1,200.1,110.4,69.7,260.8,161.8,206.5,66.3,172.2,,245.4,164.6272727
Dec-79,17.5,23.4,25.2,1.1,17.8,11,14,29.3,2.2,45.6,,102.4,26.31818182
Jan-80,4.2,3.6,0,20,5.7,0,0,1.4,1.3,0,0.7,70.9,8.983333333
Feb-80,0,0,0,0,0,0,0,0,22.6,1.8,0,1,2.116666667
Mar-80,8.8,2.2,36.1,0,1.9,21.5,22.3,6.6,88,60,23.8,172.8,37
Apr-80,45.6,4.5,19.2,0,19,68.4,3.9,0,92,40.1,3.3,71.2,30.6
May-80,322.6,124.5,212.1,0,235.6,173.8,244,135.7,255.4,198.5,121.7,244.9,189.0666667
Jun-80,146.9,291,231.8,255.6,344.4,91.3,363.9,332.5,398.6,360.6,395.8,459.7,306.0083333
Jul-80,95.5,129.4,140.4,74.9,194,131.5,103.9,124.6,418,260.2,274.3,309.6,188.025
Aug-80,119.8,195.6,164,162,368.7,117,218.8,375.3,728.6,435.1,462.7,552.4,325
Sep-80,151.1,178,245,221.3,154.1,103.2,183.4,0,278.73,280.2,305.7,321.5,201.8525
Oct-80,216.8,204.6,434.2,373.9,491.7,473.9,340.9,371.9,592.9,408.1,328.3,280.8,376.5
Nov-80,266.7,77.2,132.7,17.4,24.9,202.6,165.3,20.2,222.5,125.3,43.4,86,115.35
Dec-80,47.2,34,6.9,1.7,21.4,46.9,42.5,17.9,26.6,4.7,14.7,13.4,23.15833333
Jan-81,1.2,1.3,4,0,1.2,0.5,2.9,1.4,49,38.8,17.5,114.6,19.36666667
Feb-81,0,0,0,0,0,3.4,0,0,57,0,0,2.9,5.275
Mar-81,20.8,0,0,0,0,1.3,0,0,2.1,0.4,0,23.9,4.041666667
Apr-81,19.6,3.8,49.5,4,13.5,44.4,5.4,27.4,137,33,3.3,158.1,41.58333333
May-81,293.6,168,201.6,0,244.5,268.4,233,330.8,247.4,272.7,352.6,352.3,247.075
Jun-81,75.6,73.1,164.1,156.4,186.7,87.3,296.5,192.3,375.5,351.7,261,206.7,202.2416667
Jul-81,86.6,112.5,52.7,94.4,202.7,91.4,110,143.3,398.2,183.1,181.8,159.3,151.3333333
Aug-81,119.6,139.1,122.4,170.7,225,164.6,235,226.6,413.9,305.2,289.4,359.9,230.95
Sep-81,234.6,199.6,143.9,282.9,300.5,201.2,244.5,259.4,571.7,344.9,296.6,375.6,287.95
Oct-81,279.8,240.5,177.1,156.9,223.9,194,306.4,234.3,207.8,138.6,249.3,289.2,224.8166667
Nov-81,179.5,102.5,148.6,192.2,246,229.4,164.2,269.9,201.5,287.8,204.5,217,203.5916667
Dec-81,60.9,14.6,9.8,12,34.1,20.2,32.1,24.2,2.7,16.5,81.5,74.6,31.93333333
Jan-82,0,0,0,0,0,0,0,0,11.6,0,0,0,0.966666667
Feb-82,0,0,0,0,0,0,0,0,86.8,21.8,4,0,9.383333333
Mar-82,35.7,10.1,89.3,7,99.6,147.6,13.6,61.4,265.45,98.9,17.7,95.9,78.52083333
Apr-82,35.5,21.4,24.8,0,16.3,212.7,41.2,9.2,253.2,138,15.2,99.4,72.24166667
May-82,384,156.1,183.7,131.4,186.2,281.9,154.7,212.5,138,140.1,200.8,306.4,206.3166667
Jun-82,151.7,310.2,112.9,251.8,320.7,171.3,148.3,427.5,452.7,186,219.9,231.2,248.6833333
